date,away_team,home_team,market_total,over_odds,under_odds,source
2026-06-24,BOS,COL,,,,
2026-06-24,BAL,LAA,,,,
2026-06-24,SEA,PIT,,,,
2026-06-24,KCR,TBR,,,,
2026-06-24,NYY,DET,,,,
2026-06-24,PHI,WSN,,,,
2026-06-24,HOU,TOR,,,,
2026-06-24,MIL,CIN,,,,
2026-06-24,LAD,MIN,,,,
2026-06-24,ARI,STL,,,,
2026-06-24,ATL,SDP,,,,
2026-06-24,ATH,SFG,,,,
2026-06-25,KCR,TBR,,,,
2026-06-25,SEA,PIT,,,,
2026-06-25,ATH,SFG,,,,
2026-06-25,HOU,DET,,,,
2026-06-25,PHI,WSN,,,,
2026-06-25,TEX,TOR,,,,
2026-06-25,CHC,NYM,,,,
2026-06-25,NYY,BOS,,,,
2026-06-26,HOU,DET,,,,
2026-06-26,CIN,PIT,,,,
2026-06-26,WSN,BAL,,,,
2026-06-26,TEX,TOR,,,,
2026-06-26,SEA,CLE,,,,
2026-06-26,ARI,TBR,,,,
2026-06-26,PHI,NYM,,,,
2026-06-26,NYY,BOS,,,,
2026-06-26,KCR,CHW,,,,
2026-06-26,CHC,MIL,,,,
2026-06-26,COL,MIN,,,,
2026-06-26,MIA,STL,,,,
2026-06-26,ATH,LAA,,,,
2026-06-26,LAD,SDP,,,,
2026-06-26,ATL,SFG,,,,
2026-06-27,HOU,DET,,,,
2026-06-27,NYY,BOS,,,,
2026-06-27,TEX,TOR,,,,
2026-06-27,CIN,PIT,,,,
2026-06-27,PHI,NYM,,,,
2026-06-27,KCR,CHW,,,,
2026-06-27,ARI,TBR,,,,
2026-06-27,WSN,BAL,,,,
2026-06-27,SEA,CLE,,,,
2026-06-27,COL,MIN,,,,
2026-06-27,CHC,MIL,,,,
2026-06-27,MIA,STL,,,,
2026-06-27,LAD,SDP,,,,
2026-06-27,ATL,SFG,,,,
2026-06-27,ATH,LAA,,,,
2026-06-28,WSN,BAL,,,,
2026-06-28,CIN,PIT,,,,
2026-06-28,TEX,TOR,,,,
2026-06-28,HOU,DET,,,,
2026-06-28,SEA,CLE,,,,
2026-06-28,ARI,TBR,,,,
2026-06-28,PHI,NYM,,,,
2026-06-28,COL,MIN,,,,
2026-06-28,KCR,CHW,,,,
2026-06-28,CHC,MIL,,,,
2026-06-28,MIA,STL,,,,
2026-06-28,ATH,LAA,,,,
2026-06-28,ATL,SFG,,,,
2026-06-28,LAD,SDP,,,,
2026-06-28,NYY,BOS,,,,
