date,away_team,home_team,market_total,total_runs,model_total,bet_side,odds,best_ev,over_probability,under_probability,result,profit_units
2026-07-25,HOU,CHW,9.0,5.0,7.860275022215566,under,-110,0.1389872410716999,0.4033876356291096,0.5966123643708904,win,0.9091
2026-07-25,COL,MIL,9.5,13.0,8.913282368753375,under,-110,0.05025194339341965,0.44986802965106587,0.5501319703489341,loss,-1.0
2026-07-25,LAD,NYM,9.0,7.0,7.881592957122001,under,-110,0.13576278057532365,0.4050766387462591,0.5949233612537409,win,0.9091
2026-07-25,SEA,TEX,9.0,8.0,9.85675078025709,over,-110,0.09418257933105068,0.5731432558400742,0.4268567441599258,loss,-1.0
2026-07-26,CHC,PIT,10.0,15.0,9.161331110867756,under,-110,0.09096604032294997,0.4285415979260738,0.5714584020739262,loss,-1.0
2026-07-26,TOR,BOS,8.5,7.0,8.98775731331127,over,-110,0.034124978111307325,0.5416845123440182,0.4583154876559819,loss,-1.0
2026-07-26,KCR,DET,9.0,9.0,8.324919910470818,under,-110,0.06464805236418791,0.4423272106663778,0.5576727893336222,push,0.0
2026-07-26,ATH,MIN,10.0,19.0,9.154772736869084,under,-110,0.0925009786089841,0.42773758263338935,0.5722624173666107,loss,-1.0
2026-07-26,COL,MIL,9.5,13.0,8.944416835218465,under,-110,0.0451397919211558,0.45254582327939463,0.5474541767206054,loss,-1.0
2026-07-26,SEA,TEX,9.0,10.0,9.761379309359068,over,-110,0.0785876720073464,0.5649744948609909,0.435025505139009,win,0.9091
2026-07-26,NYY,PHI,9.0,15.0,9.540407334170949,over,-110,0.042950079367545024,0.5463071844306188,0.45369281556938124,win,0.9091
2026-07-27,SEA,TEX,9.0,10.0,9.756784534158733,over,-110,0.07803525959988322,0.5646851359808912,0.4353148640191088,win,0.9091
2026-07-27,BAL,DET,7.5,13.0,8.14416656086527,over,-110,0.059888931645258436,0.5551799165760877,0.4448200834239123,win,0.9091
2026-07-27,NYY,CHW,8.5,14.0,9.024213737795431,over,-110,0.04013984996430042,0.5448351595051097,0.4551648404948902,win,0.9091
2026-07-27,CHC,STL,9.5,10.0,8.922230142531209,under,-110,0.04882966860394222,0.45061303073126835,0.5493869692687317,loss,-1.0
2026-07-28,CLE,CIN,8.5,11.0,9.243647849877187,over,-110,0.07592912255697781,0.5635819213393694,0.43641807866063065,win,0.9091
2026-07-28,CLE,CIN,9.0,2.0,9.7181033374784,over,-110,0.07188959385255056,0.5614659777322883,0.43853402226771165,loss,-1.0
2026-07-28,BAL,DET,8.0,14.0,8.59022474319758,over,-110,0.05095692569304089,0.5505012467915928,0.4494987532084071,win,0.9091
2026-07-28,KCR,MIN,10.0,5.0,9.298435339057578,under,-110,0.06879298688816582,0.4401560544871512,0.5598439455128488,win,0.9091
2026-07-28,CHC,STL,9.5,12.0,8.894624492077114,under,-110,0.053264939517350784,0.4482897935861496,0.5517102064138504,loss,-1.0
2026-07-28,COL,SDP,10.0,15.0,9.138759883264846,under,-110,0.09479557460841215,0.4265356513955937,0.5734643486044063,loss,-1.0
2026-07-28,SEA,LAD,8.0,13.0,8.793288189491454,over,-110,0.08387785863414199,0.5677455449988362,0.4322544550011637,win,0.9091
2026-07-29,BAL,DET,8.0,19.0,8.54008825512114,over,-110,0.04279285069989358,0.546224826557087,0.4537751734429129,win,0.9091
2026-07-29,MIL,SFG,8.0,19.0,8.464211448566461,over,-110,0.03003532081712379,0.5395423109042077,0.46045768909579227,win,0.9091
2026-07-29,COL,SDP,10.0,4.0,9.079139070850324,under,-110,0.10303130942516625,0.4222216950630082,0.5777783049369918,win,0.9091
2026-07-29,CLE,CIN,8.5,7.0,9.223193734402455,over,-110,0.07137595607638847,0.5611969293733463,0.43880307062665375,loss,-1.0
2026-07-29,KCR,MIN,10.0,4.0,9.286183027436568,under,-110,0.06995457817784034,0.4395476019068456,0.5604523980931544,win,0.9091
2026-07-29,NYY,CHW,8.5,11.0,8.995877555886329,over,-110,0.03485928497999624,0.5420691492752361,0.4579308507247639,win,0.9091
2026-07-29,CHC,STL,9.5,5.0,8.916159838456519,under,-110,0.049108872346825816,0.4504667811516627,0.5495332188483373,win,0.9091
2026-07-29,SEA,LAD,8.5,6.0,9.239898404354033,over,-110,0.07436978359490687,0.5627651247401892,0.4372348752598108,loss,-1.0
